,userId,yearsActive,isCyberbullying
0,1935601099,3,False
1,1935601099,3,False
2,927613872390975488,3,False
3,1935601099,3,False
4,4495931,12,False
5,3696241,12,False
6,15016209,11,False
7,16310319,11,False
8,15883237,11,True
9,16626956,11,False
10,23186079,10,False
11,33536404,10,False
12,23186079,10,False
13,23186079,10,False
14,23186079,10,False
15,23186079,10,False
16,71108476,10,False
17,76762055,10,False
18,60668913,10,False
19,71108476,10,False
20,30567448,10,True
21,71108476,10,False
22,23186079,10,False
23,23186079,3,False
24,95956201,10,False
25,71108476,10,False
26,23186079,10,False
27,60334462,10,False
28,69167515,10,False
29,68723264,10,False
30,68723264,10,False
31,71108476,10,False
32,60334462,10,False
33,23186079,10,False
34,44982012,10,False
35,23186079,10,False
36,69365359,10,False
37,95439391,10,False
38,35201774,10,False
39,71108476,10,False
40,60611223,10,False
41,36222372,10,False
42,62198384,10,False
43,23186079,10,False
44,92548679,10,False
45,23186079,10,False
46,76762055,10,False
47,47070156,10,False
48,77419430,10,False
49,48971197,10,False
50,64820716,10,False
51,68034431,10,False
52,94543804,10,False
53,31094717,10,False
54,22924311,10,False
55,49692305,10,False
56,68034431,10,False
57,92748776,10,False
58,19942168,10,False
59,68034431,10,False
60,71108476,10,False
61,94543804,10,False
62,56764903,10,False
63,68034431,10,False
64,69897962,10,False
65,74397391,10,False
66,69167515,10,False
67,77189080,10,False
68,45819962,10,False
69,56764903,10,False
70,73080402,10,False
71,73080402,10,False
72,63829194,10,False
73,44982012,10,False
74,97453133,10,False
75,98149527,10,False
76,80549263,10,False
77,44982012,10,False
78,68034431,10,False
79,93183233,10,False
80,68034431,10,False
81,69897962,10,False
82,36413418,10,False
83,85420539,10,True
84,68034431,10,False
85,67155761,10,False
86,93499827,10,False
87,74397391,10,False
88,73080402,10,False
89,96430842,10,False
90,23186079,10,False
91,38399582,10,False
92,95897602,10,False
93,48971197,10,False
94,87282413,10,False
95,74397391,10,False
96,80549263,10,False
97,68034431,10,False
98,80931720,10,False
99,23186079,10,False
100,49119658,10,True
101,87282413,10,False
102,74480433,10,True
103,22540376,10,False
104,66708116,10,True
105,21574395,10,False
106,97184872,10,False
107,93150869,10,False
108,91635317,10,False
109,64215971,10,False
110,97779384,10,False
111,55537787,10,True
112,93148535,10,False
113,42439482,10,False
