decade,century,trials,deaths,country,lon,lat,record.source
1690,1600,26,1,Norway,8.7876653,61.1529386,Naess (1990)
1700,1700,2,0,Norway,8.7876653,61.1529386,Naess (1990)
1710,1700,2,0,Norway,8.7876653,61.1529386,Naess (1990)
1720,1700,1,0,Norway,8.7876653,61.1529386,Naess (1990)
1730,1700,6,0,Norway,8.7876653,61.1529386,Naess (1990)
1740,1700,1,0,Norway,8.7876653,61.1529386,Naess (1990)
1750,1700,1,0,Norway,8.7876653,61.1529386,Naess (1990)
1470,1400,2,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1490,1400,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1540,1500,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,7,7,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,4,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,6,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,6,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,6,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,6,4,Switzerland,8.2319736,46.7985624,Bader (1945)
